label,width,height,Thickness
R1_C1_f1,202,41.5,2.5
R1_C1_f2,202,41.5,2.5
R1_C1_b,202,83,1
R1_C1_s1,202,57,2.5
R1_C1_s2,202,57,2.5
R1_C1_d,57,78,2.5
R1_C1_t,57,78,2.5
R1_C1_sh1,57,78,2.5
R1_C1_sh2,57,78,2.5
,,,
R1_C2_f1,202,41.5,2.5
R1_C2_f2,202,41.5,2.5
R1_C2_b,202,84,1
R1_C2_s1,202,57,2.5
R1_C2_s2,202,57,2.5
R1_C2_d,57,78,2.5
R1_C2_t,57,78,2.5
R1_C2_sh1,57,78,2.5
R1_C2_sh2,57,78,2.5
,,,
R1_C3_f1,144,50,2.5
R1_C3_b,144,50,1
R1_C3_s1,144,37.5,2.5
R1_C3_s2,144,37.5,2.5
R1_C3_d,37.5,50,2.5
R1_C3_t,37.5,50,2.5
R1_C3_sh1,37.5,50,2.5
R1_C3_sh2,37.5,50,2.5
,,,
R1_D1_f,50,17,2.5
R1_D1_b,45,11,1
R1_D1_s1,45,11,2.5
R1_D1_s2,45,11,2.5
R1_D1_d,45,47,2.5
,,,
R1_D2_f,50,25,2.5
R1_D2_b,45,20,1
R1_D2_s1,45,20,2.5
R1_D2_s2,45,20,2.5
R1_D2_d,45,47,2.5
,,,
R1_D1C1_f,37,14.5,2.5
R1_D1C1_b,30,11,1
R1_D1C1_s1,46,11,2.5
R1_D1C1_s2,46,11,2.5
R1_D1C1_d,45,47,2.5
,,,
R1_D2C1_f,37,14.5,2.5
R1_D2C1_b,30,11,2.5
R1_D2C1_s1,46,11,2.5
R1_D2C1_s2,46,11,2.5
R1_D2C1_d,45,47,3
,,,
R1_L_f1,72,40.5,2.5
R1_L_f2,72,40.5,2.5
R1_L_f3,72,40.5,2.5
R1_L_f4,72,40.5,2.5
R1_L_f5,72,40.5,2.5
R1_L_f6,72,40.5,2.5
R1_L_f7,72,40.5,2.5
R1_L_f8,72,40.5,2.5
R1_L_d,316,57,3
,,,
k_C1_f1,66,33,2.5
k_C1_f2,66,33,2.5
k_C1_b,66,67,2.5
k_C1_s1,62,54.5,2.5
k_C1_s2,62,54.5,2.5
k_C1_d,66,55.5,3
k_C1_t,66,55.5,2.5
k_C1_sh1,63.5,42,3
,,,
k_C2_f1,60,48,2.5
k_C2_f2,60,48,2.5
k_C2_b,96,60,2.5
k_C2_s1,60,30,2.5
k_C2_s2,60,30,2.5
k_C2_d,96,30,3
k_C2_t,96,30,2.5
k_C2_sh1,91,26,3
,,,
k_C3_f,60,45.5,2.5
k_C3_b,60,45.5,2.5
k_C3_s1,60,30,2.5
k_C3_s2,60,30,2.5
k_C3_d,41,30,1
k_C3_t,41,30,2.5
k_C3_sh1,41,25.5,3
,,,
k_C4_f1,60,37,2.5
k_C4_f2,60,37,2.5
k_C4_b,74,60,1
k_C4_s1,56,30,2.5
k_C4_s2,56,30,2.5
k_C4_d,74,30,2.5
k_C4_t,74,30,2.5
k_C4_sh1,56,26,3
k_C4_sh2,26,24.5,3
,,,
k_D1_f,59,33,2.5
k_D1_b,54,19.5,2.5
k_D1_s1,49,19.5,2.5
k_D1_s2,49,19.5,2.5
k_D1_d,54,49,3
,,,
k_D2_f,59,33,2.5
k_D2_b,54,19.5,2.5
k_D2_s1,49,19.5,2.5
k_D2_s2,49,19.5,2.5
k_D2_d,54,49,3
,,,
k_D3_f,60,33,2.5
k_D3_b,54,19.5,2.5
k_D3_s1,49,19.5,2.5
k_D3_s2,49,19.5,2.5
k_D3_d,49,55,3
